search_label,expected_id,payload_json
경기 화성시 동탄순환대로 127-17 서양식 60000000만원 10.9평,105,"{""totalAmount"": 6000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [4], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""서양식""}"
광주 남구 봉선동 기타서비스 30000000만원 12.7평,106,"{""totalAmount"": 3000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""광주"", ""gunName"": ""남구"", ""dongName"": ""봉선동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""기타서비스""}"
경남 김해시 경원로73번길 9 치킨 40000000만원 11.8평,107,"{""totalAmount"": 4000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경남"", ""gunName"": ""김해시"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""치킨""}"
경남 진주시 대안동 19-6 서양식 55000000만원 28.8평,123,"{""totalAmount"": 5500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [4], ""isFranchise"": 1, ""address"": {""sidoName"": ""경남"", ""gunName"": ""진주시"", ""dongName"": ""대안동""}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""서양식""}"
인천 미추홀구 한식 8000000만원 3.9평,125,"{""totalAmount"": 800, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [1], ""isFranchise"": 1, ""address"": {""sidoName"": ""인천"", ""gunName"": ""미추홀구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""한식""}"
부산 중구 신창동1가 17-3 의류/패션 125000000만원 30.0평,126,"{""totalAmount"": 12500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""부산"", ""gunName"": ""중구"", ""dongName"": """"}, ""exclusiveArea"": ""30~40평"", ""option"": [], ""categoryLabel"": ""의류/패션""}"
부산 부산진구 중앙대로 681-1 스포츠 65000000만원 57.9평,127,"{""totalAmount"": 6500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""부산"", ""gunName"": ""부산진구"", ""dongName"": """"}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""스포츠""}"
부산 영도구 절영로 50 치킨 130000000만원 23.0평,129,"{""totalAmount"": 13000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""부산"", ""gunName"": ""영도구"", ""dongName"": """"}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""치킨""}"
서울 구로구 구로동 패스트푸드 160000000만원 18.8평,131,"{""totalAmount"": 16000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""구로구"", ""dongName"": ""구로동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""패스트푸드""}"
광주 광산구 첨단강변로99번길 22 분식 70000000만원 7.9평,132,"{""totalAmount"": 7000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [5], ""isFranchise"": 1, ""address"": {""sidoName"": ""광주"", ""gunName"": ""광산구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""분식""}"
인천 계양구 계산천동로 29-1 종합소매점 30000000만원 10.9평,134,"{""totalAmount"": 3000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""인천"", ""gunName"": ""계양구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""종합소매점""}"
부산 부산진구 제과제빵 450000000만원 40.0평,135,"{""totalAmount"": 45000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""부산"", ""gunName"": ""부산진구"", ""dongName"": """"}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""제과제빵""}"
광주 동구 의재로136번길 33 커피 105000000만원 40.0평,137,"{""totalAmount"": 10500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""광주"", ""gunName"": ""동구"", ""dongName"": """"}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""커피""}"
서울 서대문구 명지대1나길 nan 40000000만원 20.0평,138,"{""totalAmount"": 4000, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""서대문구"", ""dongName"": """"}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""nan""}"
경기 용인시 수지구 수지로296번길 51-8 패스트푸드 200000000만원 18.8평,139,"{""totalAmount"": 20000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""용인시"", ""dongName"": ""수지구""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""패스트푸드""}"
경기 수원시 장안구 정자동 71-15 분식 60000000만원 30.9평,140,"{""totalAmount"": 6000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [5], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""수원시"", ""dongName"": ""장안구""}, ""exclusiveArea"": ""30~40평"", ""option"": [], ""categoryLabel"": ""분식""}"
서울 용산구 청파로 333 치킨 45000000만원 8.8평,142,"{""totalAmount"": 4500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""용산구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""치킨""}"
부산 사상구 대동로 69 제과제빵 35000000만원 7.9평,143,"{""totalAmount"": 3500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""부산"", ""gunName"": ""사상구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""제과제빵""}"
서울 동대문구 장안동 커피 60000000만원 23.9평,144,"{""totalAmount"": 6000, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""동대문구"", ""dongName"": ""장안동""}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""커피""}"
서울 성북구 동소문동6가 커피 60000000만원 27.9평,145,"{""totalAmount"": 6000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""성북구"", ""dongName"": """"}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""커피""}"
충북 청주시 흥덕구 가경동 치킨 50000000만원 20.0평,146,"{""totalAmount"": 5000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""충북"", ""gunName"": ""청주시"", ""dongName"": ""흥덕구""}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""치킨""}"
서울 동대문구 답십리동 12-18 피자 23000000만원 17.0평,148,"{""totalAmount"": 2300, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""동대문구"", ""dongName"": ""답십리동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""피자""}"
경기 양주시 옥정동 서양식 65000000만원 11.8평,154,"{""totalAmount"": 6500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [4], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""양주시"", ""dongName"": ""옥정동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""서양식""}"
광주 동구 지산동 518-3 기타서비스 40000000만원 10.0평,159,"{""totalAmount"": 4000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""광주"", ""gunName"": ""동구"", ""dongName"": ""지산동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""기타서비스""}"
서울 강동구 고덕로24길 24 커피 40000000만원 20.0평,162,"{""totalAmount"": 4000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""강동구"", ""dongName"": """"}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""커피""}"
경기 의정부시 신흥로 84 한식 100000000만원 24.8평,163,"{""totalAmount"": 10000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [1], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": """"}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""한식""}"
경기 부천시 오정동 611-5 기타서비스 35000000만원 11.8평,164,"{""totalAmount"": 3500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""부천시"", ""dongName"": ""오정동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""기타서비스""}"
경기 김포시 김포대로 1466-50 한식 200000000만원 60.0평,166,"{""totalAmount"": 20000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [1], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""김포시"", ""dongName"": """"}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""한식""}"
경기 김포시 장기동 1899-2 자동차 40000000만원 43.9평,167,"{""totalAmount"": 4000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""김포시"", ""dongName"": ""장기동""}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""자동차""}"
부산 남구 용소로19번길 34 한식 50000000만원 12.7평,168,"{""totalAmount"": 5000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [1], ""isFranchise"": 1, ""address"": {""sidoName"": ""부산"", ""gunName"": ""남구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""한식""}"
경기 양주시 옥정동 주점 50000000만원 23.9평,169,"{""totalAmount"": 5000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""양주시"", ""dongName"": ""옥정동""}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""주점""}"
서울 성동구 뚝섬로1가길 27 커피 42000000만원 10.0평,170,"{""totalAmount"": 4200, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""커피""}"
경기 파주시 심학산로 385 치킨 115000000만원 11.8평,171,"{""totalAmount"": 11500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""파주시"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""치킨""}"
인천 연수구 선학동 411-5 PC방 48000000만원 60.0평,174,"{""totalAmount"": 4800, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""인천"", ""gunName"": ""연수구"", ""dongName"": ""선학동""}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""PC방""}"
경기 김포시 김포한강9로76번길 11 주점 160000000만원 24.8평,176,"{""totalAmount"": 16000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""김포시"", ""dongName"": """"}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""주점""}"
서울 관악구 봉천동 36-34 한식 53000000만원 10.0평,178,"{""totalAmount"": 5300, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""subCategoryId"": [1], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""관악구"", ""dongName"": ""봉천동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""한식""}"
광주 광산구 임방울대로826번길 42 주점 160000000만원 84.8평,187,"{""totalAmount"": 16000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""광주"", ""gunName"": ""광산구"", ""dongName"": """"}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""주점""}"
경기 수원시 영통구 매탄로108번길 10 치킨 65000000만원 20.0평,188,"{""totalAmount"": 6500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""수원시"", ""dongName"": ""영통구""}, ""exclusiveArea"": ""20~30평"", ""option"": [], ""categoryLabel"": ""치킨""}"
경남 창원시 마산회원구 삼호로 80 분식 70000000만원 4.8평,190,"{""totalAmount"": 7000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [5], ""isFranchise"": 1, ""address"": {""sidoName"": ""경남"", ""gunName"": ""창원시"", ""dongName"": ""마산회원구""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""분식""}"
부산 동래구 중앙대로 1393 분식 70000000만원 5.8평,191,"{""totalAmount"": 7000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [5], ""isFranchise"": 1, ""address"": {""sidoName"": ""부산"", ""gunName"": ""동래구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""분식""}"
경기 화성시 병점동 755-2 치킨 40000000만원 14.8평,192,"{""totalAmount"": 4000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": ""병점동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""치킨""}"
충북 청주시 서원구 복대로 31 제과제빵 90000000만원 14.8평,194,"{""totalAmount"": 9000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""충북"", ""gunName"": ""청주시"", ""dongName"": ""서원구""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""제과제빵""}"
광주 서구 쌍촌동 548-11 패스트푸드 5000000만원 2.7평,196,"{""totalAmount"": 500, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""광주"", ""gunName"": ""서구"", ""dongName"": ""쌍촌동""}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""패스트푸드""}"
세종특별자치시 나성북1로 12 커피 130000000만원 10.0평,199,"{""totalAmount"": 13000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""세종특별자치시"", ""gunName"": ""나성북1로"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""커피""}"
경기 시흥시 은계번영길 19 제과제빵 120000000만원 14.8평,200,"{""totalAmount"": 12000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""시흥시"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""제과제빵""}"
경기 수원시 영통구 이의동 아이스크림빙수 220000000만원 44.8평,201,"{""totalAmount"": 22000, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""수원시"", ""dongName"": ""영통구""}, ""exclusiveArea"": ""40평 이상"", ""option"": [], ""categoryLabel"": ""아이스크림빙수""}"
경기 화성시 동탄반송3길 8 기타외국식 70000000만원 14.8평,205,"{""totalAmount"": 7000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""기타외국식""}"
인천 계양구 장기로 23 커피 60000000만원 14.8평,217,"{""totalAmount"": 6000, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""인천"", ""gunName"": ""계양구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""커피""}"
충남 서산시 해미면 한서1로 39 커피 100000000만원 31.8평,219,"{""totalAmount"": 10000, ""monthlyAvgSales"": ""ANY"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""충남"", ""gunName"": ""서산시"", ""dongName"": ""해미면""}, ""exclusiveArea"": ""30~40평"", ""option"": [], ""categoryLabel"": ""커피""}"
경기 평택시 소사4로 58 커피 80000000만원 38.8평,220,"{""totalAmount"": 8000, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""isFranchise"": 1, ""address"": {""sidoName"": ""경기"", ""gunName"": ""평택시"", ""dongName"": """"}, ""exclusiveArea"": ""30~40평"", ""option"": [], ""categoryLabel"": ""커피""}"
서울 강서구 화곡로 354-5 일식 75000000만원 15.8평,221,"{""totalAmount"": 7500, ""monthlyAvgSales"": ""1억원 이상"", ""mainCategoryId"": [], ""subCategoryId"": [3], ""isFranchise"": 1, ""address"": {""sidoName"": ""서울"", ""gunName"": ""강서구"", ""dongName"": """"}, ""exclusiveArea"": ""10~20평"", ""option"": [], ""categoryLabel"": ""일식""}"
