상품상태,카테고리ID,상품명,판매가,재고수량,대표 이미지 파일명,상품 상세정보,판매자 상품코드,제조사,브랜드,부가세,원산지 직접입력,배송방법,배송비 유형,기본배송비,배송비 결제방식,반품배송비,교환배송비,지역별 차등배송비 정보,옵션형태,대카테고리,중카테고리,소카테고리
중고상품,53988419,스팀오븐 스탠다드 3157,2680047,10,2036269077_vltisFPgzj_1756948883_img67.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 스팀오븐, 220V, 소비전력 3.8kW, 크기 1200x800x700mm</div>",CH8336293,델롱기,델롱기,과세상품,대한민국,직배송,무료,12000,선결제,10000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,유지보수,스팀오븐
렌탈상품,51498218,렌탈 렌탈계약 스탠다드 7143,4863527,481,7181391042_rzTJspHmLl_1756948883_img86.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 렌탈계약, 렌탈 계약서, 계약 기간 1-5년</div>",CH5869510,쿠진아트,쿠진아트,과세상품,독일,렌탈배송,수량별,15000,착불 또는 선결제,15000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,계약관리,렌탈계약
신상품,57529134,양도양수 스팀오븐 프리미엄 5910,2061612,303,5159510632_bLJgSmdDLT_1756948883_img80.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 스팀오븐, 220V, 소비전력 3.8kW, 크기 1200x800x700mm</div>",CH7339512,보쉬,보쉬,과세상품,일본,"택배, 소포, 등기",유료,15000,착불 또는 선결제,0,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,상업용기기,스팀오븐
렌탈상품,59612621,렌탈 믹서 스탠다드 5042,3050112,948,2255843584_ibQvCACdwD_1756948883_img13.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH3002594,LG,LG,과세상품,중국,직배송,무료,5000,선결제,10000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,믹서
신상품,59611980,주서기 스탠다드 4207,596839,215,1490923510_lDAtTYByjR_1756948883_img15.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 주서기, 220V, 소비전력 0.8kW, 크기 250x250x400mm</div>",CH4032396,네스프레소,네스프레소,과세상품,일본,렌탈배송,수량별,12000,착불 또는 선결제,5000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,주서기
신상품,51863937,양도양수 믹서 스탠다드 2195,238536,664,5309710801_rFcFZPfCXA_1756948883_img74.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH5989736,브레빌,브레빌,과세상품,수입산_아시아_중국,렌탈배송,무료,15000,선결제,15000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,렌탈서비스,믹서
렌탈상품,53240875,렌탈 제빙기 스탠다드 2642,2847494,315,5261279705_TzJEDPAWzY_1756948883_img54.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH5810646,델롱기,델롱기,과세상품,대한민국,직배송,무료,3000,선결제,0,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,렌탈서비스,제빙기
신상품,59948408,제빙기 스탠다드 3515,4730027,763,8177909243_VOKcGiCwhV_1756948883_img55.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH2767737,브레빌,브레빌,과세상품,독일,렌탈배송,유료,0,착불 또는 선결제,15000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,양도양수,제빙기
신상품,50150413,식기세척기 스탠다드 6903,2457004,79,5745009025_kiLmuktUyH_1756948883_img19.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH7693696,보쉬,보쉬,과세상품,이탈리아,"택배, 소포, 등기",수량별,5000,착불 또는 선결제,10000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,식기세척기
중고상품,59791104,양도양수 커피머신 프리미엄 9223,2375871,879,4260525173_VlvtYwSWEo_1756948883_img49.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH2038121,브레빌,브레빌,과세상품,미국,렌탈배송,수량별,10000,착불 또는 선결제,15000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,렌탈서비스,커피머신
신상품,50794657,양도양수 믹서 프리미엄 1276,1254266,580,6728401217_QzsjhYjdiF_1756948883_img35.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH3390227,키친에이드,키친에이드,과세상품,수입산_아시아_중국,직배송,무료,15000,선결제,10000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,믹서
렌탈상품,57398442,렌탈 블렌더 스탠다드 6203,3937441,681,5709874572_dOckNkVqMW_1756948883_img46.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 블렌더, 220V, 소비전력 0.7kW, 크기 200x200x450mm</div>",CH3609941,LG,LG,과세상품,미국,"택배, 소포, 등기",무료,0,선결제,0,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,블렌더
렌탈상품,52512471,렌탈 그릴 스탠다드 2765,4754318,387,6473445710_kDDoZeJaXO_1756948883_img28.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH7429799,LG,LG,과세상품,독일,렌탈배송,유료,3000,착불 또는 선결제,5000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,그릴
신상품,59807985,양도양수 식기세척기 스탠다드 4088,2946867,920,2278431225_gpZslMiUcz_1756948883_img43.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH9978113,보쉬,보쉬,과세상품,독일,직배송,무료,15000,선결제,15000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,상업용기기,식기세척기
중고상품,52478663,양도양수 커피머신 스탠다드 6363,3029420,764,8856381006_CxBwWVOchL_1756948883_img62.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH4494612,네스프레소,네스프레소,과세상품,대한민국,"택배, 소포, 등기",유료,3000,착불 또는 선결제,3000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,커피머신
신상품,54893720,양도양수 커피머신 프리미엄 4397,4316742,518,6414399863_byYevuubYV_1756948883_img54.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH2230909,델롱기,델롱기,과세상품,수입산_아시아_중국,직배송,유료,0,착불 또는 선결제,0,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,커피머신
중고상품,58668374,토스터 프리미엄 5767,2145309,545,6880166112_FAMTiVPYpi_1756948883_img17.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 토스터, 220V, 소비전력 0.9kW, 크기 300x200x200mm</div>",CH7016210,삼성,삼성,과세상품,중국,렌탈배송,유료,15000,착불 또는 선결제,10000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,토스터
신상품,55121103,제빙기 프리미엄 8234,2068816,159,8916266330_YVLKdJTVEV_1756948883_img58.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH6572335,LG,LG,과세상품,독일,직배송,유료,5000,착불 또는 선결제,0,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,유지보수,제빙기
중고상품,59649669,그릴 프리미엄 7032,1179843,728,4013605284_jZPIzPjxBH_1756948883_img58.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH6608533,쿠진아트,쿠진아트,과세상품,수입산_아시아_중국,화물배송,수량별,15000,착불 또는 선결제,3000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,유지보수,그릴
중고상품,56938969,주서기 스탠다드 4248,1616486,161,5450249842_AmNhSCxpMG_1756948883_img37.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 주서기, 220V, 소비전력 0.8kW, 크기 250x250x400mm</div>",CH8728289,키친에이드,키친에이드,과세상품,중국,렌탈배송,무료,0,선결제,0,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,가정용기기,주서기
렌탈상품,53667059,렌탈 양도 스탠다드 7466,1004966,526,3486081541_tOtwYCIqGC_1756948883_img22.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 양도, 양도양수 계약서, 계약 양도 가능</div>",CH2687900,보쉬,보쉬,과세상품,미국,화물배송,무료,5000,선결제,0,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,렌탈서비스,양도
렌탈상품,57898135,렌탈 커피머신 스탠다드 9688,3252037,430,5442561023_YHYbaLzebf_1756948883_img14.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH2554361,네스프레소,네스프레소,과세상품,이탈리아,화물배송,수량별,12000,착불 또는 선결제,5000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,계약관리,커피머신
신상품,53322464,양도양수 렌탈계약 스탠다드 9029,1520228,329,9376747407_wjWtCsMOpH_1756948883_img13.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 렌탈계약, 렌탈 계약서, 계약 기간 1-5년</div>",CH4892005,델롱기,델롱기,과세상품,이탈리아,"택배, 소포, 등기",유료,5000,착불 또는 선결제,0,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,렌탈계약
렌탈상품,59939485,렌탈 식기세척기 스탠다드 7310,3435887,952,7364466464_FHdjjsycnc_1756948883_img72.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH9207082,쿠진아트,쿠진아트,과세상품,대한민국,렌탈배송,수량별,0,착불 또는 선결제,15000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,식기세척기
신상품,54260096,커피머신 스탠다드 6424,2120226,635,8896177162_mFKbxpQRvZ_1756948883_img96.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH3079764,삼성,삼성,과세상품,수입산_아시아_중국,렌탈배송,수량별,12000,착불 또는 선결제,3000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,커피머신
중고상품,58204450,양도양수 냉장고 스탠다드 6298,4941265,185,4491990898_wkuGeOWbXI_1756948883_img37.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH8463050,보쉬,보쉬,과세상품,이탈리아,직배송,수량별,10000,착불 또는 선결제,5000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,렌탈서비스,냉장고
렌탈상품,54477046,렌탈 블렌더 프리미엄 7657,3664430,831,1913302943_zvuIRwlLRb_1756948883_img65.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 블렌더, 220V, 소비전력 0.7kW, 크기 200x200x450mm</div>",CH1737684,키친에이드,키친에이드,과세상품,수입산_아시아_중국,직배송,무료,0,선결제,5000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,블렌더
렌탈상품,57107361,렌탈 그릴 스탠다드 3101,4053283,956,6441213419_olmrqvIRZT_1756948883_img60.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH4290179,델롱기,델롱기,과세상품,독일,직배송,수량별,5000,착불 또는 선결제,0,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,유지보수,그릴
신상품,54522324,전자레인지 스탠다드 3042,335486,246,5410407521_KxxUWzExWn_1756948883_img46.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 전자레인지, 220V, 소비전력 1.0kW, 크기 500x300x300mm</div>",CH1862213,키친에이드,키친에이드,과세상품,독일,화물배송,무료,12000,선결제,3000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,전자레인지
렌탈상품,53143427,렌탈 커피머신 프리미엄 9303,4177790,349,3617434992_MKjMpKzQVp_1756948883_img56.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH1639221,네스프레소,네스프레소,과세상품,미국,"택배, 소포, 등기",수량별,0,착불 또는 선결제,10000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,커피머신
신상품,59847006,양도양수 블렌더 스탠다드 1393,884495,161,6211959763_AuuFaoFtJm_1756948883_img90.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 블렌더, 220V, 소비전력 0.7kW, 크기 200x200x450mm</div>",CH7558750,델롱기,델롱기,과세상품,일본,렌탈배송,무료,0,선결제,0,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,가정용기기,블렌더
신상품,54652318,제빙기 스탠다드 1664,3248741,350,3572122607_rWweXJDLiu_1756948883_img32.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH3895599,키친에이드,키친에이드,과세상품,이탈리아,렌탈배송,수량별,12000,착불 또는 선결제,10000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,계약관리,제빙기
중고상품,56516435,커피머신 프리미엄 9149,3696468,556,8541298585_QvXwszGSpq_1756948883_img86.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH9897242,델롱기,델롱기,과세상품,중국,직배송,수량별,3000,착불 또는 선결제,3000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,계약관리,커피머신
신상품,59650403,양도양수 주서기 프리미엄 1414,3697204,140,2498465939_nroumpKAQZ_1756948883_img79.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 주서기, 220V, 소비전력 0.8kW, 크기 250x250x400mm</div>",CH1427043,델롱기,델롱기,과세상품,대한민국,"택배, 소포, 등기",무료,3000,선결제,10000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,주서기
중고상품,52453860,커피머신 프리미엄 7584,840663,908,5300511417_xYFBpXcnJy_1756948883_img78.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH4832457,브레빌,브레빌,과세상품,대한민국,"택배, 소포, 등기",유료,15000,착불 또는 선결제,5000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,렌탈서비스,커피머신
렌탈상품,58747489,렌탈 블렌더 스탠다드 1606,2544619,678,2001311899_yuzHppJsnF_1756948883_img54.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 블렌더, 220V, 소비전력 0.7kW, 크기 200x200x450mm</div>",CH7843562,델롱기,델롱기,과세상품,일본,"택배, 소포, 등기",무료,12000,선결제,5000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,블렌더
