회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M028,53,M,경기 성남시,3-5년,주말 오전,동기부여 중심,그룹,주 1회,,취미 유지,야외 코트,매일,30만 원 이상
M029,47,기타,경기 성남시,5년 이상,평일 오전,친절한 지도,그룹,주 2회,3승 0패,취미 유지,접근성,미사용,10만 원 미만
M030,30,M,대전 유성구,5년 이상,평일 오후,동기부여 중심,온라인,주 2회,3승 3패,대회 준비,실내 코트,주 1-2회,10-30만 원
M031,30,M,부산 해운대구,1-3년,주말 저녁,엄격한 피드백,1:1,월 1회 미만,2승 2패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M032,47,M,부산 해운대구,0-1년,평일 오전,미입력,온라인,주 1회,0승 2패,실력 향상,실내 코트,미사용,30만 원 이상
M033,17,F,서울 서초구,5년 이상,주말 오전,친절한 지도,그룹,주 2회,3승 3패,체력 증진,미입력,주 1회 미만,10-30만 원
M034,28,F,경기 성남시,1-3년,평일 오전,친절한 지도,그룹,주 1회,,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M035,36,F,부산 남구,5년 이상,주말 저녁,엄격한 피드백,그룹,주 1회,3승 0패,취미 유지,접근성,주 1회 미만,10만 원 미만
M036,47,M,부산 남구,3-5년,평일 오전,엄격한 피드백,그룹,월 1회 미만,,취미 유지,시설 완비,매일,10만 원 미만
M037,48,M,경기 성남시,1-3년,주말 오전,친절한 지도,1:1,월 1회 미만,2승 3패,대회 준비,미입력,매일,10만 원 미만
M038,40,기타,광주 광산구,3-5년,주말 오전,동기부여 중심,그룹,주 1회,0승 3패,체력 증진,야외 코트,미사용,30만 원 이상
M039,11,F,대구 수성구,1-3년,평일 오전,엄격한 피드백,온라인,월 2-3회,3승 3패,체력 증진,실내 코트,미사용,10만 원 미만
M040,37,F,서울 강남구,3-5년,주말 저녁,동기부여 중심,온라인,주 2회,3승 2패,취미 유지,야외 코트,매일,10-30만 원
M041,47,M,경기 성남시,5년 이상,평일 오후,친절한 지도,1:1,월 2-3회,,취미 유지,야외 코트,주 1-2회,10만 원 미만
M042,41,M,경기 성남시,3-5년,주말 저녁,엄격한 피드백,온라인,월 1회 미만,2승 1패,체력 증진,야외 코트,주 1-2회,10-30만 원
M043,48,M,강원 원주시,3-5년,평일 오후,친절한 지도,1:1,주 1회,0승 3패,대회 준비,야외 코트,미사용,10만 원 미만
M044,26,F,서울 마포구,0-1년,평일 오후,엄격한 피드백,1:1,월 1회 미만,3승 3패,실력 향상,야외 코트,매일,10-30만 원
M045,36,M,경기 성남시,1-3년,평일 오전,친절한 지도,온라인,월 2-3회,1승 0패,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M046,24,F,서울 서초구,0-1년,주말 오전,친절한 지도,온라인,주 2회,0승 0패,실력 향상,실내 코트,주 1-2회,10-30만 원
M047,48,F,대전 유성구,0-1년,평일 저녁,친절한 지도,온라인,주 2회,1승 2패,실력 향상,접근성,주 1회 미만,10만 원 미만
M048,31,F,부산 해운대구,5년 이상,평일 오후,동기부여 중심,1:1,주 2회,1승 2패,실력 향상,시설 완비,매일,10만 원 미만
M049,27,M,부산 수영구,0-1년,주말 오전,친절한 지도,1:1,주 1회,2승 1패,취미 유지,시설 완비,주 1회 미만,30만 원 이상
M050,20,M,대전 서구,3-5년,평일 오후,미입력,그룹,주 2회,3승 0패,취미 유지,접근성,주 1-2회,10-30만 원
M051,35,F,강원 원주시,1-3년,주말 저녁,동기부여 중심,온라인,주 2회,1승 3패,대회 준비,접근성,매일,30만 원 이상
M052,45,F,서울 송파구,0-1년,평일 저녁,엄격한 피드백,온라인,주 1회,,대회 준비,시설 완비,미사용,30만 원 이상
M053,39,M,경기 용인시,3-5년,평일 저녁,친절한 지도,1:1,월 1회 미만,3승 2패,대회 준비,미입력,주 1-2회,10-30만 원
M054,32,F,서울 마포구,1-3년,평일 저녁,친절한 지도,1:1,월 1회 미만,,실력 향상,실내 코트,주 1회 미만,10만 원 미만
M055,22,F,서울 서초구,0-1년,평일 오후,미입력,그룹,월 1회 미만,,취미 유지,야외 코트,미사용,10만 원 미만
M056,47,M,서울 서초구,1-3년,평일 오전,미입력,그룹,주 2회,2승 2패,대회 준비,시설 완비,주 1-2회,10만 원 미만
M057,31,M,광주 북구,0-1년,평일 오전,엄격한 피드백,1:1,월 1회 미만,0승 1패,체력 증진,실내 코트,주 1회 미만,10-30만 원
M058,37,M,서울 마포구,0-1년,평일 오전,친절한 지도,그룹,주 2회,1승 1패,취미 유지,접근성,주 1회 미만,10-30만 원
M059,30,M,경기 용인시,3-5년,평일 오전,친절한 지도,온라인,주 2회,1승 0패,실력 향상,실내 코트,매일,30만 원 이상
M060,31,F,서울 송파구,3-5년,주말 오전,친절한 지도,그룹,월 2-3회,3승 2패,실력 향상,실내 코트,미사용,10만 원 미만
M061,37,M,대전 서구,0-1년,평일 오전,친절한 지도,온라인,월 1회 미만,1승 2패,대회 준비,접근성,미사용,30만 원 이상
M062,43,F,인천 남동구,3-5년,평일 오후,엄격한 피드백,온라인,월 2-3회,,체력 증진,야외 코트,미사용,30만 원 이상
M063,24,F,광주 북구,1-3년,평일 오후,친절한 지도,그룹,월 2-3회,3승 2패,체력 증진,야외 코트,미사용,10만 원 미만
M064,32,F,인천 연수구,3-5년,주말 오전,동기부여 중심,온라인,월 2-3회,3승 3패,실력 향상,실내 코트,미사용,30만 원 이상
M065,39,M,인천 남동구,3-5년,평일 저녁,동기부여 중심,1:1,월 1회 미만,2승 2패,체력 증진,실내 코트,주 1회 미만,10-30만 원
M066,19,F,부산 수영구,1-3년,평일 오후,동기부여 중심,1:1,주 2회,3승 3패,실력 향상,미입력,미사용,30만 원 이상
M067,35,M,서울 마포구,0-1년,주말 오전,동기부여 중심,온라인,주 1회,1승 2패,취미 유지,시설 완비,주 1회 미만,10만 원 미만
M068,26,M,광주 광산구,3-5년,평일 오전,동기부여 중심,그룹,월 2-3회,3승 1패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M069,60,F,대전 유성구,1-3년,평일 오전,친절한 지도,온라인,월 2-3회,3승 2패,대회 준비,야외 코트,미사용,10만 원 미만
M070,33,F,부산 남구,5년 이상,평일 오전,친절한 지도,1:1,월 2-3회,3승 2패,실력 향상,미입력,주 1-2회,10만 원 미만
M071,34,M,인천 남동구,0-1년,주말 오전,동기부여 중심,그룹,주 2회,,실력 향상,접근성,미사용,10만 원 미만
M072,30,M,서울 강남구,5년 이상,평일 오전,친절한 지도,온라인,주 2회,2승 3패,대회 준비,실내 코트,주 1-2회,10만 원 미만
M073,22,M,부산 해운대구,5년 이상,주말 저녁,미입력,그룹,월 2-3회,,실력 향상,시설 완비,주 1회 미만,10만 원 미만
M074,49,F,대구 수성구,1-3년,주말 오전,엄격한 피드백,1:1,월 2-3회,1승 0패,체력 증진,미입력,매일,30만 원 이상
M075,40,F,부산 수영구,0-1년,평일 오후,동기부여 중심,1:1,월 1회 미만,3승 3패,취미 유지,야외 코트,미사용,30만 원 이상
M076,44,F,제주 서귀포시,5년 이상,평일 오전,엄격한 피드백,온라인,주 1회,0승 0패,대회 준비,시설 완비,주 1-2회,30만 원 이상
M077,34,F,서울 마포구,5년 이상,주말 오전,친절한 지도,온라인,주 2회,,실력 향상,실내 코트,주 1-2회,10-30만 원
M078,33,F,경기 성남시,3-5년,평일 오후,엄격한 피드백,그룹,주 2회,3승 0패,실력 향상,실내 코트,매일,10만 원 미만
M079,44,M,서울 마포구,1-3년,평일 오전,동기부여 중심,온라인,주 1회,3승 2패,체력 증진,실내 코트,주 1-2회,30만 원 이상
M080,28,M,인천 남동구,1-3년,평일 오전,친절한 지도,온라인,월 1회 미만,1승 1패,취미 유지,실내 코트,매일,30만 원 이상
M081,38,F,경기 용인시,0-1년,평일 저녁,동기부여 중심,1:1,월 2-3회,,실력 향상,야외 코트,미사용,30만 원 이상
M082,30,M,부산 수영구,0-1년,평일 저녁,친절한 지도,그룹,주 1회,0승 1패,체력 증진,야외 코트,주 1회 미만,10-30만 원
M083,44,M,서울 송파구,3-5년,평일 오후,엄격한 피드백,온라인,월 1회 미만,0승 2패,실력 향상,실내 코트,미사용,30만 원 이상
M084,22,M,인천 남동구,3-5년,평일 오후,엄격한 피드백,온라인,주 2회,1승 3패,실력 향상,실내 코트,주 1-2회,10만 원 미만
M085,45,F,부산 해운대구,0-1년,평일 저녁,엄격한 피드백,온라인,주 1회,2승 3패,실력 향상,시설 완비,미사용,10만 원 미만
M086,26,F,서울 서초구,5년 이상,주말 오전,미입력,1:1,월 2-3회,3승 1패,실력 향상,시설 완비,주 1회 미만,10만 원 미만
M087,13,M,광주 북구,0-1년,평일 오후,엄격한 피드백,1:1,월 1회 미만,,취미 유지,접근성,주 1회 미만,10-30만 원
M088,41,M,대전 서구,1-3년,주말 저녁,동기부여 중심,그룹,주 1회,3승 0패,취미 유지,야외 코트,주 1회 미만,10-30만 원
M089,49,M,대구 수성구,0-1년,평일 저녁,엄격한 피드백,온라인,월 1회 미만,2승 0패,체력 증진,접근성,매일,10-30만 원
M090,14,M,서울 마포구,3-5년,주말 오전,엄격한 피드백,온라인,주 2회,0승 2패,대회 준비,실내 코트,미사용,30만 원 이상
M091,26,F,대전 서구,3-5년,평일 저녁,미입력,그룹,주 2회,0승 1패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M092,32,M,서울 서초구,3-5년,평일 오전,엄격한 피드백,온라인,월 1회 미만,,실력 향상,시설 완비,주 1-2회,10-30만 원
M093,39,F,인천 연수구,3-5년,주말 저녁,친절한 지도,1:1,주 2회,,대회 준비,미입력,주 1-2회,30만 원 이상
M094,32,F,서울 마포구,0-1년,주말 오전,친절한 지도,온라인,월 1회 미만,2승 2패,대회 준비,시설 완비,미사용,10-30만 원
M095,45,M,경기 성남시,3-5년,평일 오전,엄격한 피드백,그룹,주 1회,3승 0패,실력 향상,야외 코트,주 1-2회,10-30만 원
M096,40,M,부산 수영구,1-3년,주말 저녁,친절한 지도,1:1,주 2회,0승 0패,실력 향상,시설 완비,주 1회 미만,30만 원 이상
M097,43,M,대구 달서구,5년 이상,주말 저녁,친절한 지도,1:1,주 2회,,취미 유지,접근성,주 1-2회,10만 원 미만
M098,42,F,서울 영등포구,3-5년,평일 저녁,친절한 지도,1:1,주 2회,2승 0패,취미 유지,접근성,주 1-2회,30만 원 이상
M099,48,M,경기 성남시,5년 이상,평일 오전,친절한 지도,1:1,주 1회,2승 0패,취미 유지,접근성,주 1회 미만,10-30만 원
M100,31,M,부산 해운대구,0-1년,평일 오전,친절한 지도,온라인,월 1회 미만,3승 3패,취미 유지,야외 코트,주 1회 미만,30만 원 이상
M101,20,F,부산 남구,0-1년,평일 오후,친절한 지도,온라인,월 2-3회,,대회 준비,시설 완비,매일,30만 원 이상
M102,27,M,서울 송파구,1-3년,평일 오후,친절한 지도,온라인,월 2-3회,,실력 향상,실내 코트,주 1회 미만,10-30만 원
M103,30,M,서울 강남구,3-5년,주말 오전,엄격한 피드백,그룹,월 2-3회,,체력 증진,실내 코트,주 1-2회,10-30만 원
M104,42,M,서울 강남구,1-3년,평일 오전,엄격한 피드백,1:1,주 2회,3승 1패,실력 향상,접근성,매일,30만 원 이상
M105,48,M,대구 달서구,1-3년,평일 오전,친절한 지도,그룹,월 1회 미만,3승 1패,체력 증진,시설 완비,주 1회 미만,10만 원 미만
M106,23,M,광주 북구,1-3년,평일 오전,동기부여 중심,온라인,월 2-3회,,대회 준비,야외 코트,주 1회 미만,10-30만 원
M107,46,M,인천 연수구,0-1년,평일 저녁,엄격한 피드백,그룹,월 2-3회,2승 1패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M108,41,F,서울 강남구,1-3년,평일 오후,친절한 지도,온라인,주 2회,3승 3패,체력 증진,미입력,매일,10-30만 원
M109,42,F,대구 수성구,3-5년,평일 저녁,엄격한 피드백,1:1,주 1회,1승 2패,실력 향상,접근성,매일,10만 원 미만
M110,41,M,광주 광산구,3-5년,평일 오후,엄격한 피드백,온라인,주 1회,1승 3패,체력 증진,미입력,미사용,10만 원 미만
M111,39,M,부산 수영구,5년 이상,주말 저녁,친절한 지도,온라인,월 2-3회,3승 0패,대회 준비,미입력,미사용,10-30만 원
M112,26,F,서울 강남구,5년 이상,주말 오전,친절한 지도,온라인,월 1회 미만,1승 3패,실력 향상,실내 코트,주 1-2회,10만 원 미만
M113,21,F,서울 마포구,0-1년,평일 저녁,친절한 지도,1:1,월 2-3회,0승 2패,대회 준비,미입력,매일,10만 원 미만
M114,31,M,경기 성남시,1-3년,평일 오전,엄격한 피드백,온라인,월 1회 미만,3승 3패,체력 증진,시설 완비,주 1회 미만,10만 원 미만
M115,45,M,서울 마포구,0-1년,평일 오전,친절한 지도,그룹,월 2-3회,1승 3패,대회 준비,시설 완비,매일,30만 원 이상
M116,39,M,서울 서초구,1-3년,평일 오후,동기부여 중심,온라인,월 2-3회,3승 1패,실력 향상,시설 완비,주 1-2회,10만 원 미만
M117,32,M,광주 북구,5년 이상,평일 오전,미입력,그룹,주 2회,1승 1패,대회 준비,실내 코트,미사용,10-30만 원
M118,29,M,부산 해운대구,5년 이상,평일 오전,동기부여 중심,1:1,주 1회,3승 2패,취미 유지,실내 코트,미사용,30만 원 이상
M119,40,M,서울 강남구,0-1년,주말 오전,엄격한 피드백,그룹,월 1회 미만,0승 1패,대회 준비,실내 코트,주 1-2회,10만 원 미만
M120,23,M,부산 해운대구,5년 이상,평일 오후,엄격한 피드백,그룹,월 2-3회,1승 1패,실력 향상,실내 코트,미사용,10만 원 미만
M121,29,M,광주 북구,1-3년,평일 저녁,친절한 지도,온라인,주 2회,1승 2패,체력 증진,접근성,주 1-2회,10-30만 원
M122,30,F,부산 해운대구,1-3년,평일 오전,엄격한 피드백,1:1,주 1회,,실력 향상,실내 코트,주 1-2회,10-30만 원
M123,21,M,서울 강남구,1-3년,평일 오후,친절한 지도,온라인,주 1회,2승 2패,체력 증진,실내 코트,매일,10만 원 미만
M124,40,F,광주 북구,0-1년,주말 저녁,엄격한 피드백,그룹,주 1회,3승 1패,취미 유지,시설 완비,주 1-2회,30만 원 이상
M125,28,M,인천 남동구,5년 이상,주말 오전,미입력,그룹,주 1회,0승 3패,취미 유지,접근성,주 1-2회,10만 원 미만
M126,41,F,서울 영등포구,1-3년,평일 오전,엄격한 피드백,온라인,월 2-3회,,취미 유지,실내 코트,미사용,30만 원 이상
M127,22,M,부산 해운대구,0-1년,평일 오후,엄격한 피드백,온라인,주 1회,2승 1패,실력 향상,미입력,주 1-2회,10-30만 원
M128,20,M,대전 유성구,3-5년,평일 오전,친절한 지도,온라인,주 1회,0승 0패,체력 증진,접근성,매일,10-30만 원
M129,11,M,광주 광산구,3-5년,주말 오전,동기부여 중심,1:1,주 2회,3승 1패,실력 향상,야외 코트,매일,10-30만 원
M130,40,F,인천 남동구,0-1년,평일 저녁,엄격한 피드백,그룹,월 1회 미만,,취미 유지,접근성,매일,30만 원 이상
M131,28,M,서울 송파구,1-3년,평일 저녁,친절한 지도,온라인,월 1회 미만,2승 2패,대회 준비,실내 코트,매일,10-30만 원
M132,34,M,강원 원주시,5년 이상,평일 저녁,엄격한 피드백,1:1,주 1회,0승 2패,대회 준비,시설 완비,주 1-2회,10-30만 원
M133,22,M,경기 용인시,0-1년,주말 오전,친절한 지도,1:1,주 2회,2승 0패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M134,35,M,인천 연수구,3-5년,평일 오후,엄격한 피드백,그룹,주 2회,3승 3패,대회 준비,시설 완비,주 1-2회,30만 원 이상
M135,43,M,대구 수성구,5년 이상,평일 저녁,미입력,온라인,월 2-3회,,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M136,35,M,서울 송파구,0-1년,평일 오전,친절한 지도,온라인,월 2-3회,2승 3패,대회 준비,실내 코트,매일,10만 원 미만
M137,45,F,대전 서구,0-1년,주말 오전,친절한 지도,1:1,월 1회 미만,1승 3패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M138,32,F,서울 송파구,0-1년,주말 오전,친절한 지도,온라인,월 2-3회,,체력 증진,실내 코트,주 1-2회,30만 원 이상
M139,39,F,부산 해운대구,5년 이상,평일 오후,미입력,온라인,주 1회,1승 0패,취미 유지,미입력,매일,10만 원 미만
M140,57,F,부산 수영구,5년 이상,주말 오전,동기부여 중심,그룹,주 1회,3승 3패,실력 향상,야외 코트,매일,10-30만 원
M141,34,F,광주 북구,1-3년,주말 저녁,엄격한 피드백,1:1,주 2회,,체력 증진,시설 완비,주 1-2회,10만 원 미만
M142,30,M,서울 서초구,0-1년,평일 저녁,미입력,온라인,월 2-3회,,체력 증진,접근성,주 1-2회,30만 원 이상
M143,14,M,부산 해운대구,0-1년,평일 저녁,동기부여 중심,그룹,월 1회 미만,2승 2패,실력 향상,실내 코트,매일,10-30만 원
M144,25,F,경기 용인시,5년 이상,주말 오전,동기부여 중심,1:1,주 1회,1승 0패,체력 증진,실내 코트,미사용,10만 원 미만
M145,24,F,광주 북구,0-1년,평일 오후,동기부여 중심,온라인,월 2-3회,,대회 준비,시설 완비,매일,10-30만 원
M146,46,M,경기 용인시,3-5년,평일 저녁,친절한 지도,온라인,주 1회,2승 0패,실력 향상,접근성,미사용,30만 원 이상
M147,29,F,서울 송파구,5년 이상,평일 오후,친절한 지도,1:1,월 2-3회,,대회 준비,야외 코트,주 1-2회,10만 원 미만
M148,29,M,서울 송파구,0-1년,평일 저녁,엄격한 피드백,온라인,주 1회,1승 0패,체력 증진,접근성,주 1회 미만,10-30만 원
M149,25,F,서울 강남구,5년 이상,평일 저녁,동기부여 중심,1:1,주 1회,2승 2패,취미 유지,시설 완비,주 1회 미만,30만 원 이상
M150,34,F,광주 북구,5년 이상,평일 오전,동기부여 중심,온라인,월 1회 미만,0승 1패,취미 유지,접근성,주 1-2회,10-30만 원
M151,33,M,부산 수영구,3-5년,주말 저녁,엄격한 피드백,그룹,주 2회,0승 0패,실력 향상,실내 코트,주 1-2회,30만 원 이상
M152,26,M,강원 원주시,5년 이상,주말 저녁,엄격한 피드백,온라인,주 1회,2승 1패,체력 증진,접근성,주 1회 미만,10만 원 미만
M153,24,M,대구 수성구,1-3년,주말 저녁,엄격한 피드백,그룹,주 2회,,취미 유지,실내 코트,매일,30만 원 이상
M154,48,M,서울 강남구,3-5년,평일 오후,친절한 지도,1:1,주 2회,,체력 증진,야외 코트,주 1회 미만,30만 원 이상
M155,21,M,대전 서구,5년 이상,주말 저녁,엄격한 피드백,온라인,월 2-3회,0승 0패,체력 증진,실내 코트,매일,30만 원 이상
M156,54,F,광주 북구,0-1년,평일 오전,동기부여 중심,1:1,월 1회 미만,0승 2패,실력 향상,접근성,주 1회 미만,10-30만 원
M157,38,F,대전 유성구,1-3년,평일 오후,친절한 지도,그룹,주 1회,1승 1패,취미 유지,미입력,주 1-2회,30만 원 이상
M158,42,기타,부산 해운대구,3-5년,평일 오후,친절한 지도,1:1,주 1회,0승 0패,취미 유지,실내 코트,주 1회 미만,10만 원 미만
M159,39,M,인천 남동구,5년 이상,평일 오전,엄격한 피드백,1:1,주 1회,0승 2패,체력 증진,접근성,주 1-2회,30만 원 이상
M160,45,M,경기 용인시,0-1년,주말 오전,미입력,1:1,월 1회 미만,1승 0패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M161,40,F,인천 연수구,3-5년,평일 저녁,동기부여 중심,그룹,주 2회,,취미 유지,시설 완비,주 1-2회,10-30만 원
M162,30,F,부산 남구,5년 이상,평일 저녁,미입력,그룹,주 2회,,체력 증진,시설 완비,매일,10-30만 원
M163,39,M,대구 수성구,1-3년,평일 오후,미입력,온라인,주 1회,,실력 향상,실내 코트,매일,30만 원 이상
M164,41,F,부산 해운대구,0-1년,평일 저녁,엄격한 피드백,온라인,주 2회,1승 0패,체력 증진,야외 코트,매일,10만 원 미만
M165,39,F,경기 성남시,3-5년,평일 오전,동기부여 중심,온라인,주 1회,2승 2패,취미 유지,실내 코트,주 1-2회,10만 원 미만
M166,48,M,서울 송파구,5년 이상,평일 저녁,엄격한 피드백,1:1,월 1회 미만,2승 1패,대회 준비,실내 코트,미사용,10만 원 미만
M167,37,M,대구 달서구,3-5년,주말 오전,친절한 지도,온라인,월 2-3회,1승 1패,체력 증진,실내 코트,주 1회 미만,10-30만 원
M168,48,F,광주 북구,5년 이상,주말 저녁,친절한 지도,1:1,월 1회 미만,3승 3패,체력 증진,실내 코트,미사용,10-30만 원
M169,40,F,인천 연수구,0-1년,평일 저녁,친절한 지도,그룹,주 1회,,체력 증진,야외 코트,주 1-2회,10-30만 원
M170,21,F,대구 수성구,0-1년,평일 오후,엄격한 피드백,온라인,월 1회 미만,,체력 증진,미입력,매일,30만 원 이상
M171,42,F,대전 유성구,1-3년,평일 오후,동기부여 중심,온라인,주 2회,1승 1패,체력 증진,실내 코트,주 1-2회,30만 원 이상
M172,46,기타,경기 용인시,5년 이상,평일 오전,엄격한 피드백,그룹,주 1회,3승 3패,실력 향상,시설 완비,주 1회 미만,10만 원 미만
M173,34,M,제주 서귀포시,1-3년,평일 오후,동기부여 중심,그룹,주 1회,,실력 향상,접근성,주 1-2회,30만 원 이상
M174,59,F,서울 송파구,5년 이상,평일 저녁,동기부여 중심,온라인,주 2회,3승 2패,실력 향상,실내 코트,주 1-2회,10만 원 미만
M175,47,M,서울 영등포구,1-3년,평일 저녁,동기부여 중심,1:1,주 2회,1승 0패,취미 유지,시설 완비,매일,30만 원 이상
M176,26,F,서울 강남구,0-1년,평일 오전,엄격한 피드백,그룹,월 2-3회,3승 2패,취미 유지,미입력,주 1회 미만,30만 원 이상
M177,32,M,부산 해운대구,1-3년,평일 오후,미입력,그룹,월 2-3회,0승 3패,취미 유지,야외 코트,주 1-2회,10만 원 미만
M178,38,F,부산 수영구,0-1년,평일 저녁,미입력,1:1,월 1회 미만,2승 0패,취미 유지,시설 완비,매일,10만 원 미만
M179,46,F,제주 서귀포시,3-5년,평일 저녁,엄격한 피드백,온라인,주 1회,,대회 준비,야외 코트,주 1회 미만,30만 원 이상
M180,51,M,대구 수성구,0-1년,평일 저녁,미입력,온라인,주 1회,2승 3패,체력 증진,야외 코트,미사용,30만 원 이상
M181,31,F,대구 수성구,1-3년,주말 오전,동기부여 중심,1:1,주 2회,3승 0패,대회 준비,접근성,주 1회 미만,10-30만 원
M182,50,M,대전 유성구,1-3년,주말 저녁,동기부여 중심,1:1,월 2-3회,3승 1패,실력 향상,야외 코트,매일,10-30만 원
M183,59,F,광주 북구,5년 이상,평일 오전,엄격한 피드백,온라인,월 2-3회,0승 1패,대회 준비,야외 코트,매일,30만 원 이상
M184,11,F,서울 송파구,3-5년,평일 저녁,엄격한 피드백,온라인,월 1회 미만,1승 3패,취미 유지,실내 코트,주 1-2회,10-30만 원
M185,24,F,대전 유성구,0-1년,주말 오전,미입력,1:1,월 1회 미만,2승 1패,실력 향상,야외 코트,주 1회 미만,10만 원 미만
M186,42,M,대전 서구,0-1년,평일 오전,친절한 지도,그룹,월 2-3회,,취미 유지,접근성,주 1-2회,10만 원 미만
M187,45,F,서울 강남구,1-3년,평일 오후,친절한 지도,1:1,주 2회,1승 2패,체력 증진,야외 코트,주 1-2회,10만 원 미만
M188,25,M,서울 송파구,0-1년,평일 오전,동기부여 중심,온라인,주 2회,3승 3패,체력 증진,야외 코트,매일,10만 원 미만
M189,32,M,경기 용인시,3-5년,평일 저녁,엄격한 피드백,1:1,월 1회 미만,1승 1패,취미 유지,미입력,매일,10-30만 원
